Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-05-29,TCS,EQ,3502.05,3529.9,3544.0,3488.0,3519.95,3523.5,3517.42,1762656,620000834015000.0,101072,834822,0.4736
2018-05-30,TCS,EQ,3523.5,3509.05,3533.0,3482.5,3507.5,3514.1,3508.9,1889553,663024374665000.0,125085,1124217,0.595
2018-05-31,TCS,EQ,3514.1,1734.0,1759.05,1726.1,1748.85,1741.05,1742.44,5049371,879825047370000.1,207998,3447026,0.6827
2018-06-01,TCS,EQ,1741.05,1754.0,1757.5,1716.3,1732.0,1732.45,1742.29,1603856,279438629835000.0,74272,924751,0.5766
2018-06-04,TCS,EQ,1732.45,1745.0,1749.0,1712.6,1742.0,1744.25,1730.25,1681483,290939368970000.0,96686,928452,0.5522
2018-06-05,TCS,EQ,1744.25,1744.0,1751.9,1711.15,1723.0,1721.6,1728.88,2449568,423500068790000.0,133067,1492228,0.6092000000000001
2018-06-06,TCS,EQ,1721.6,1723.0,1734.9,1715.2,1725.0,1725.75,1725.85,2236512,385987468410000.0,73770,1573892,0.7037000000000001
2018-06-07,TCS,EQ,1725.75,1725.0,1749.0,1723.8,1734.05,1735.55,1738.0,2414762,419684576520000.0,105531,1639426,0.6789000000000001
2018-06-08,TCS,EQ,1735.55,1735.0,1757.3,1735.0,1742.95,1747.1,1748.59,2582138,451509748870000.0,90908,1640936,0.6355
2018-06-11,TCS,EQ,1747.1,1747.1,1763.0,1743.0,1750.9,1749.7,1752.55,2179378,381946318945000.0,104681,1659838,0.7615999999999999
2018-06-12,TCS,EQ,1749.7,1757.0,1785.0,1753.0,1781.05,1781.0,1773.52,4608875,817394834510000.0,108707,3580858,0.7769
2018-06-13,TCS,EQ,1781.0,1816.0,1831.65,1798.0,1824.0,1824.1,1818.17,5370983,976538071179999.9,236378,2862488,0.533
2018-06-14,TCS,EQ,1824.1,1830.0,1832.3,1784.0,1784.95,1787.55,1795.49,3819998,685877108820000.0,185231,2405344,0.6297
2018-06-15,TCS,EQ,1787.55,1800.0,1847.1,1788.6,1840.0,1840.05,1823.42,9183574,1674554438335000.0,232555,4247203,0.4625
2018-06-18,TCS,EQ,1840.05,1867.95,1867.95,1822.15,1824.0,1829.0,1840.85,4674987,860595629990000.0,212032,2287621,0.4893
2018-06-19,TCS,EQ,1829.0,1822.15,1839.0,1821.0,1822.9,1824.5,1829.83,3245034,593786211525000.0,139033,1712806,0.5278
2018-06-20,TCS,EQ,1824.5,1832.0,1836.3,1818.6,1820.0,1822.45,1828.68,3107695,568296875390000.0,151059,2297300,0.7392000000000001
2018-06-21,TCS,EQ,1822.45,1832.0,1832.0,1817.6,1820.0,1819.35,1822.83,2910659,530564422580000.0,130989,2119842,0.7283
2018-06-22,TCS,EQ,1819.35,1827.0,1827.0,1799.55,1809.0,1809.8,1810.38,2949458,533962653270000.0,225703,2149173,0.7287
2018-06-25,TCS,EQ,1809.8,1811.9,1822.35,1806.0,1817.75,1819.25,1817.52,2083217,378627898115000.0,115086,1348047,0.6470999999999999
2018-06-26,TCS,EQ,1819.25,1823.0,1861.0,1821.0,1852.05,1852.0,1842.52,4679712,862245557495000.1,160270,3197021,0.6831999999999999
2018-06-27,TCS,EQ,1852.0,1860.0,1885.15,1851.25,1857.5,1858.0,1870.51,4081208,763392293785000.0,163411,1967182,0.48200000000000004
2018-06-28,TCS,EQ,1858.0,1865.0,1871.0,1826.3,1844.1,1842.7,1846.23,4888125,902462235545000.1,176902,3110366,0.6363000000000001
2018-06-29,TCS,EQ,1842.7,1844.9,1867.4,1842.3,1844.95,1847.75,1851.25,3506276,649097843760000.0,213525,2265670,0.6462000000000001
2018-07-02,TCS,EQ,1847.75,1852.0,1857.8,1841.1,1854.05,1851.35,1852.0,2650290,490834257989999.94,137325,1969574,0.7432
2018-07-03,TCS,EQ,1851.35,1859.95,1879.9,1857.05,1874.25,1874.05,1872.16,3242233,606998514750000.0,191297,2047537,0.6315
2018-07-04,TCS,EQ,1874.05,1879.9,1879.9,1857.15,1867.0,1866.15,1863.61,2700614,503288644720000.0,116958,1997832,0.7398
2018-07-05,TCS,EQ,1866.15,1873.0,1887.5,1862.1,1883.8,1880.3,1874.33,2472571,463440841564999.94,94620,1580212,0.6391
2018-07-06,TCS,EQ,1880.3,1882.85,1921.0,1881.65,1917.75,1912.95,1907.65,3713781,708460822360000.0,143673,2110559,0.5683
